"['@RwandaHealth spokesman Kayumba: Media is a core partner in preventing and preparedness for epidemics. #Ebola #Rwanda @unicefrw @arjrwanda', datetime.datetime(2020, 1, 16, 8, 28, 11)]"
"['“You will never report or write on Public Health Threat like #Ebola when you don’t even understand the Virus, Commu… https://t.co/PEBwm4Amdl', datetime.datetime(2020, 1, 16, 8, 27)]"
"['In his Welcome remark Mr @AldoHavugimana a journalist and the President of @arjrwanda focused on the role of the me… https://t.co/rjDjOAEIEQ', datetime.datetime(2020, 1, 16, 8, 18, 57)]"
"['Happening now at Hilltop Hotel is the training on Public Health Emergencies reporting and writing focusing on… https://t.co/1Zp6q3MECq', datetime.datetime(2020, 1, 16, 8, 14, 45)]"
"[""Mise à jour #Ebola #RDC (provinces d'Ituri, N Kivu &amp; S Kivu) au 15 jan; données du 14 jan 2020. Trois (3) nouveaux… https://t.co/2efw7HzUpT"", datetime.datetime(2020, 1, 16, 8, 10, 28)]"
"[""Learn more about what @Cardno's @P4_Project and partners are doing to improve public health outcomes across the glo… https://t.co/VCVMGSmZp2"", datetime.datetime(2020, 1, 16, 8, 5, 4)]"
"['@HassanRouhani The story about the #Congo #Ebola crisis truly broke my heart. Nothing gets past me. Killing Medical… https://t.co/w57QCITfEd', datetime.datetime(2020, 1, 16, 7, 59)]"
"['It is amazing how the Red Cross volunteers have been supporting the response to #Ebola in #DRCongo, and how efforts… https://t.co/dc10yZFuwv', datetime.datetime(2020, 1, 16, 7, 58, 45)]"
"['In #DRCongo, misinformation about #Ebola persists even as cases slow. \n\nSharing information with at-risk communitie… https://t.co/hFxTtZ1lwv', datetime.datetime(2020, 1, 16, 7, 58, 25)]"
"['Heridos graves dos voluntarios de @CruzRojaEsp  por un ataque en el entierro de un enfermo de #ébola en RDC https://t.co/DzBe6ZN1Uj', datetime.datetime(2020, 1, 16, 7, 34, 25)]"
"['Protective clothing limits the interaction doctors in DRC can have with #Ebola patients. Frustrated by this, a Cong… https://t.co/Mr9A4RxDBZ', datetime.datetime(2020, 1, 16, 7, 30, 46)]"
"['BBC Newsday interviews @CIFOR scientist on deforestation, bats and Ebola study: Suspected Ebola carriers often thri… https://t.co/qCS8rzbZf8', datetime.datetime(2020, 1, 16, 7, 29, 48)]"
"['A short and clear read about why it is important to involve communities and negotiate a compromise between… https://t.co/csy2AQHt2W', datetime.datetime(2020, 1, 16, 7, 20, 3)]"
"['#Rougeole et #Ebola en #RDC  https://t.co/IUvaLwRmj5', datetime.datetime(2020, 1, 16, 6, 6, 1)]"
"['@MSF: DRC #Ebola outbreak crisis update, January 2020 https://t.co/CxQf89yvpT via @msf', datetime.datetime(2020, 1, 16, 5, 36, 24)]"
"['@NicolasJSimard @karinagould @LongondoEteni Le focus sur le système de santé est primordial car il n’y a pas qu’… https://t.co/zkT6rZP9Wh', datetime.datetime(2020, 1, 16, 4, 34, 6)]"
"['@OmariMemes MEGA #BIGFAX\n\n#BattleMemesByOmari #HeyGuysItsOmariPlzBeMyFanCuzImLonely #Oxygen #DragonBallMeme… https://t.co/7zap3kIz4m', datetime.datetime(2020, 1, 16, 4, 29, 56)]"
"['MEGA #BIGFAX\n\n#BattleMemesByOmari #HeyGuysItsOmariPlzBeMyFanCuzImLonely #Oxygen #DragonBallMeme #DragonBallSuper… https://t.co/mgPvmrAnN4', datetime.datetime(2020, 1, 16, 4, 26, 54)]"
"[""Nope. Can't hold it in any longer. Just curling up remembering every person I've ever met affected by a disaster in… https://t.co/qXV3ZGJhPI"", datetime.datetime(2020, 1, 16, 3, 6, 38)]"
"['US approves @Merck ’s #Ebola vaccine https://t.co/tWia0RwL0E', datetime.datetime(2020, 1, 16, 2, 13)]"
"['Can you believe #Ebola still lingers in #DRC? Compound crises of disease, violence, refugees &amp; distrust. Even with… https://t.co/BQjeueB4hu', datetime.datetime(2020, 1, 16, 2, 9)]"
"['This was a huge issue in 2018. Here is update on the human crisis #ebola in a war zone. Africa.\n\nhttps://t.co/Q24jr94Vkd', datetime.datetime(2020, 1, 16, 2, 5, 51)]"
"['#HeikoMaas will für #Ebola-Massen-Infektion in #Deutschland sorgen https://t.co/j8rpBChI8T #anonymousnews via @anoynews', datetime.datetime(2020, 1, 16, 2, 2, 14)]"
"['@UNICEFDRC Bravo et merci pour l’excellent travail.   On ne parle pas assez de tous ces héros dans l’ombre si impor… https://t.co/nrnYqrA1py', datetime.datetime(2020, 1, 16, 1, 28, 44)]"
"["".@NewsHour video  PBS Newshour: How war and misinformation are complicating the #DRCongo #DRC's #Ebola battle https://t.co/mi2KVCkJ8q"", datetime.datetime(2020, 1, 16, 0, 56, 15)]"
"[""@dahboo7 🚨🇺🇸\U0001f92f😶🤔🤔\nWHAT'S UP\n#Kentucky??! #Cyber #attacks #SecurityThreats-\nALERTS!! #Law Makers whisked away by #DHS… https://t.co/7v7ttP3sdJ"", datetime.datetime(2020, 1, 16, 0, 49, 37)]"
"['Cases traced to Mabalako still fueling DRC Ebola outbreak https://t.co/DP4hpoEgEv  @CEPI #Profectus #Ebola', datetime.datetime(2020, 1, 16, 0, 15, 28)]"
"['fighting the #Ebola virus in a war zone; when attacks are being made on medical teams: special correspondent… https://t.co/TYzEOB0UGS', datetime.datetime(2020, 1, 15, 23, 51, 42)]"
"['Today Rwandan Journalists start a training workshop on Communicating in Public Health Emergencies. @arjrwanda,… https://t.co/QQHH4Zfxkh', datetime.datetime(2020, 1, 15, 23, 46, 36)]"
"['Hey!\nThe nightly news is actually talking about #Ebola in the #Congo', datetime.datetime(2020, 1, 15, 23, 38, 45)]"
"['Las otras formas de matar que tiene el ébola: https://t.co/2rvpi34LQm #Ébola', datetime.datetime(2020, 1, 15, 23, 33, 24)]"
"['#Butembo: lancement d’une campagne de vaccination anti-#Ebola\n\n#RDC\n https://t.co/L85MIO20VQ via @ElectionNet', datetime.datetime(2020, 1, 15, 23, 5, 42)]"
"[""@Presidence_RDC Qui va payer  ça apres? #Ebola n'existes pas"", datetime.datetime(2020, 1, 15, 23, 4, 14)]"
"[""Tonite @NewsHour - Phase one #ChinaTradeDeal signed. What's in it, what's not, what now? @nickschifrin reports,… https://t.co/rInssawWd4"", datetime.datetime(2020, 1, 15, 22, 57, 58)]"
"['Report Signs immediately #Ebola https://t.co/JmdOtY5lqM', datetime.datetime(2020, 1, 15, 22, 35, 41)]"
"['@CIDRAP: Cases traced to Mabalako still fueling DRC #Ebola outbreak https://t.co/kRaPN31v8k', datetime.datetime(2020, 1, 15, 22, 30, 29)]"
"['Cases traced to Mabalako still fueling #DRCongo #Ebola outbreak https://t.co/icjsKiIPMd https://t.co/E5nOh2n3LW', datetime.datetime(2020, 1, 15, 22, 12, 30)]"
"[""The @US_FDA has approved the #Ebola vaccine Ervebo. \n\nIt's given through a single injection 10 days ahead of potent… https://t.co/5g1n1HW90V"", datetime.datetime(2020, 1, 15, 22, 5, 6)]"
"[""[Film] « #Ebola, c'est pareil au massacre à la machette ». #RDC \nhttps://t.co/8FadfifZiv"", datetime.datetime(2020, 1, 15, 21, 20, 10)]"
"['Jan 14, 2020 #Ebola @MinSanteRDC \n•Since start of epidemic, cumulative cases 3,403: 3,285 confirmed 118 probable. t… https://t.co/z3bqdqgjwi', datetime.datetime(2020, 1, 15, 21, 14, 55)]"
"['@WHOAFRO 2. The North Kivu-Ituri #Ebola outbreak shows little sign of letting up — though it looked like it might b… https://t.co/rwjXWW3la9', datetime.datetime(2020, 1, 15, 21, 3, 16)]"
"['Encore un jour triste pour la #RDC. Une equipe de la Croix-Rouge @crrdc1 et @ifrc attaquée avec deux volontaires bl… https://t.co/QmgNYbZFRK', datetime.datetime(2020, 1, 15, 20, 40, 19)]"
"['DRC reports a health care worker has contracted #Ebola. The person, who was vaccinated (no indication how long ago)… https://t.co/38fNMNEHBE', datetime.datetime(2020, 1, 15, 20, 32, 38)]"
"['The apparent #assassination of #AmbassadorYovanovitch is barelymaking a blip on most major news networks!\nWhat the… https://t.co/ssLrULmB2P', datetime.datetime(2020, 1, 15, 20, 23, 49)]"
"['.@newhumanitarian  --In Congo’s #Ebola zone, misinformation persists even as cases slow  #DRC #DRCongo  by… https://t.co/klRv5FXtpL', datetime.datetime(2020, 1, 15, 20, 4, 33)]"
"['@CongopresseN @juantedbelkas @kabund_jmkkrock @auguyka70 Ce support est vraiment le bienvenu pour faire face àa cet… https://t.co/Yh9u0kgmrA', datetime.datetime(2020, 1, 15, 20, 0, 46)]"
"['NIH Video Replay: Demystifying Medicine - #Ebola: Then, Now and the NIH/ Daniel Chertow, MD, MPH, CC, NIH and Nancy… https://t.co/PblELOvGb8', datetime.datetime(2020, 1, 15, 19, 56, 43)]"
"['With #Ebola comes stigma because of misinformation&amp;misrepresentation.\n\nOur programs aim to counter the disease, ref… https://t.co/yfiW5RhebX', datetime.datetime(2020, 1, 15, 19, 33, 23)]"
"['@ombaggio Since when are communities unable to bury their own people with the necessary care to avoid Ebola transmission?  #ebola', datetime.datetime(2020, 1, 15, 19, 15, 21)]"
"['Proud to be part of the RAPIDE-TKM trial team #ebola #research https://t.co/k2tqPkBjxY https://t.co/tzB10q8vgN', datetime.datetime(2020, 1, 15, 19, 15)]"
"[""For #WednesdayWisdom - what will it take to end Congo's #Ebola outbreak for good in 2020? Five practical suggestion… https://t.co/rdYLdxC0NO"", datetime.datetime(2020, 1, 15, 19, 8, 35)]"
"['Make time to read this, it captivating! @HelenBranswell dives into how all the right elements came together leading… https://t.co/wgdMUK9v60', datetime.datetime(2020, 1, 15, 18, 55, 2)]"
"['#RDC #Nord-Kivu  NZANZU KASIVITA CARLY appeler aux actions intenses pour éradiquer la maladie à Virus #Ebola qui a… https://t.co/fVb0tdVhrz', datetime.datetime(2020, 1, 15, 18, 36, 25)]"
"[""#RDC #Nord-Kivu Une grande délégation de l'inter agences des @ONU_fr venue de New York a été reçu par le gouverneur… https://t.co/Myrd3MMHNW"", datetime.datetime(2020, 1, 15, 18, 32, 42)]"
"['#Mambasa Survivor speech once discharged : ""I\'m happy, really happy. Just want to thank God who helps me to survive… https://t.co/h6rfZQAvw5', datetime.datetime(2020, 1, 15, 18, 14, 43)]"
"[""Un #Vaccin contre #Ebola approuvé pour l'usage aux USA        https://t.co/E3laY1onCj"", datetime.datetime(2020, 1, 15, 18, 6, 28)]"
"['In Congo’s #Ebola zone, misinformation persists even as cases slow: https://t.co/MsE7CsQfJn via @newhumanitarian… https://t.co/5XilpnvuD5', datetime.datetime(2020, 1, 15, 17, 54, 13)]"
"['#Mambasa Health zone. Great event! #Ebola Survivor discharged from Treatment Unit. Important ceremony full of hope… https://t.co/jZbNBdxb5P', datetime.datetime(2020, 1, 15, 17, 37, 9)]"
"['Les habitants de #Ndindi, une cellule de #Beni réclament une meilleure surveillance des personnes contacts d’#Ebola… https://t.co/K5JcIl1dxu', datetime.datetime(2020, 1, 15, 17, 27, 59)]"
"['Les habitants de #Ndindi, une cellule de #Beni réclament une meilleure surveillance des personnes contacts d’#Ebola… https://t.co/U8KtYNER0Q', datetime.datetime(2020, 1, 15, 17, 26, 55)]"
"['Les habitants de #Ndindi, une cellule de #Beni réclament une meilleure surveillance des personnes contacts d’#Ebola… https://t.co/Dq6HbBEppK', datetime.datetime(2020, 1, 15, 17, 26, 1)]"
"['Great article on problems associated with the #ebola outbreak in #Beni and #NKivu. Explains why local people are so… https://t.co/YQUmqAUFwJ', datetime.datetime(2020, 1, 15, 17, 18, 39)]"
"['https://t.co/506KgDL2Lx – learn the TRUTH  Great resource 🎯to learn from &amp; disseminate🎤🌎🗣 #ebolawebsite #Ebola… https://t.co/F1AI6hoVVc', datetime.datetime(2020, 1, 15, 17, 5, 13)]"
"['@WarChildCan @worldvisioncan @CBelieveCA @mmm_org @genevacall @Prog2030Can @Fondation_PGL @SaveChildrenCan… https://t.co/yPamGJVI69', datetime.datetime(2020, 1, 15, 17, 1, 57)]"
"['Here are ten big moments that will stick with us—and could continue to shape #TheFutureOf health for us all &gt;&gt;… https://t.co/q8LvoCRz43', datetime.datetime(2020, 1, 15, 17, 1, 40)]"
"['@WarChildCan @worldvisioncan @CBelieveCA @mmm_org @genevacall @Can2030Agenda @Fondation_PGL @SaveChildrenCan… https://t.co/7GDkbACDyK', datetime.datetime(2020, 1, 15, 17, 0, 42)]"
"['I’m walking around this beautiful museum and found #kentbrantly  pic, proud to be part of #emory #Ebola https://t.co/2h9CfnsGYR', datetime.datetime(2020, 1, 15, 16, 54, 8)]"
"['Canada va allouer 56 millions de dollars dans le cadre d’appui dans le domaine de la santé en #RDC. C’est une répon… https://t.co/SbUgWTCZh1', datetime.datetime(2020, 1, 15, 16, 38, 56)]"
"['Red Cross volunteers attacked during #Ebola burial in #DRCongo👉 https://t.co/7paxzbYB2N\n\n📷: @IFRC https://t.co/pDmviJu1Q6', datetime.datetime(2020, 1, 15, 16, 31, 9)]"
"['@GrumFromNorwich @HighWireTalk So you only listen to scientists with conflicts of interest? Gotcha.  Good to know l… https://t.co/eSNKVNnTH8', datetime.datetime(2020, 1, 15, 16, 26, 5)]"
"['DRC #Ebola: CMRE update, January 14 https://t.co/VegSUwl0rr', datetime.datetime(2020, 1, 15, 16, 19, 44)]"
"['Pharmacokinetics of TKM-130803\xa0in #SierraLeone patients with\xa0#Ebola virus disease @EBioMedicine. A huge logistical… https://t.co/0Pr33ZUM9f', datetime.datetime(2020, 1, 15, 16, 13, 39)]"
"['Important article on #Ebola #EbolaVirus #EbolaVaccine #EbolaEpidemic #MaternalDeath #FetalDeath and the exclusion o… https://t.co/X6m0E2KUTJ', datetime.datetime(2020, 1, 15, 16, 8, 10)]"
"['DR Congo: Red Cross volunteers attacked during #Ebola burial https://t.co/dA1YOQSst4', datetime.datetime(2020, 1, 15, 16, 5, 17)]"
"['Research in @TropMed_IntHlth: https://t.co/Y5M3keU1oj #Ebola', datetime.datetime(2020, 1, 15, 16, 1, 26)]"
"['Enfermedad por el virus del Ébola • Brote de ébola en Guinea • Brote epidémico • República https://t.co/BV2LnWdDw6 #ebola', datetime.datetime(2020, 1, 15, 16, 0, 55)]"
"['🎧 Ce matin sur @RFI nous faisions le point sur les deux épidémies qui ravagent actuellement la République Démocrati… https://t.co/klkioPjWsY', datetime.datetime(2020, 1, 15, 16, 0, 1)]"
"['A un paso de hallar la #cura del Ébola 🎯 #TodoEnUnSóloLugar https://t.co/fYT7U4A3Er #ebola #enfermedades', datetime.datetime(2020, 1, 15, 15, 58, 48)]"
"[""@rodrah1 Très possible. C'est la Croix-Rouge et le service de Protection Civile de la RDC qui enterre désormais tou… https://t.co/Ya0YPGFZzv"", datetime.datetime(2020, 1, 15, 15, 54, 54)]"
"[""What we're reading, in @statnews by @HelenBranswell: ‘Against all odds’: The inside story of how scientists across… https://t.co/pQQxhMdIgZ"", datetime.datetime(2020, 1, 15, 15, 40, 4)]"
"[""Interesting read, relevant questions \n#DRC #Ebola #HumanitarianAction \nWhat Will It Take To Finally End Congo's Ebo… https://t.co/XREjaLs3Qg"", datetime.datetime(2020, 1, 15, 15, 37, 27)]"
"['Dit zou niet mogen gebeuren. Twee hulpverleners van het Rode Kruis zijn aangevallen tijdens een begrafenis van een… https://t.co/DNq9OrkUnP', datetime.datetime(2020, 1, 15, 15, 15, 11)]"
"['On a front line, our volunteers are taking these hits while making THE difference in the #Ebola fight. The job of p… https://t.co/ZyHu982mAX', datetime.datetime(2020, 1, 15, 15, 1, 57)]"
"['Here we are in the middle of #ClimateCrisis #WWIll #Flu #Ebola and #BedBugs then all of a sudden #BillieEilish', datetime.datetime(2020, 1, 15, 15, 1, 28)]"
"['First FDA-approved treatment for preventing #Ebola virus @AmerNurse2Day | #ECM https://t.co/sr90VGdv2G', datetime.datetime(2020, 1, 15, 15, 0, 48)]"
"[""#RDC: Des volontaires de la Croix-Rouge attaqués lors de l'enterrement d'#Ebola dans le territoire de #Mambasa. Deu… https://t.co/DuyT7xUWy5"", datetime.datetime(2020, 1, 15, 14, 51, 51)]"
"['This is Judie Alimonti; one of the lab technicians who worked quietly for years on the #Ebola #vaccine.  Without he… https://t.co/qIPTVFPqhw', datetime.datetime(2020, 1, 15, 14, 48, 30)]"
"['#Biakato Mine, #Mandima Health zone. A Soldier convinced by @BarakaHumudi and @WHO #RCCE colleagues is now seated a… https://t.co/enCNmz6cQy', datetime.datetime(2020, 1, 15, 14, 40, 41)]"
"['#EBOLA #RDCongo « Nous avons besoin que les personnes qui seraient contaminées se sentent en confiance. C’est indis… https://t.co/GSIl0eNVLC', datetime.datetime(2020, 1, 15, 14, 30, 2)]"
"['Very excited our review on research exploring post-infection #vaccine use to treat dangerous #pathogens like #Ebola… https://t.co/GAC9s15Blo', datetime.datetime(2020, 1, 15, 14, 26, 45)]"
"['I dag ble to frivillige #ebola-arbeidere fra Røde Kors skadet i et angrep under en begravelse i #DRCongo. De får nå… https://t.co/vpDcrvRzuN', datetime.datetime(2020, 1, 15, 14, 19, 14)]"
"['Dr. Amit Uppal of NYC Health + Hospitals @BellevueHosp #inManhattan is known as a driving force for safety. He shel… https://t.co/eM5xr1twpl', datetime.datetime(2020, 1, 15, 14, 1, 40)]"
"['Specialist technique used to study drugs completed for first time during #Ebola outbreak https://t.co/WDw8XUS6Y7', datetime.datetime(2020, 1, 15, 13, 55, 8)]"
"['#EBOLA #Suisse Si des progrés ont été réalisés sur la #vaccination, les traitements et la prévention de la maladie,… https://t.co/WFvXCqcNbp', datetime.datetime(2020, 1, 15, 13, 50, 2)]"
"['New UofG research by Dr Janet Scott in @EBioMedicine\nreveals a specialist technique used to study drugs has been co… https://t.co/F0EfisT6Sk', datetime.datetime(2020, 1, 15, 13, 49, 21)]"
"['Glad to share our paper:\nPharmacokinetics of TKM-130803\xa0in #SierraLeone patients with\xa0#Ebola virus disease… https://t.co/at5psDS2Rr', datetime.datetime(2020, 1, 15, 13, 35, 2)]"
"['I often feel very lucky to know @ryanlenorabrown &amp; particularly so when she writes stories as compellingly &amp; sensit… https://t.co/8ziUaY7VXr', datetime.datetime(2020, 1, 15, 13, 31, 3)]"
"['Im Osten der Dem. Rep. #Kongo toben bewaffnete Konflikte, die Menschen leiden unter #Ebola und Hunger. Die Welthung… https://t.co/rMsBNS4NaP', datetime.datetime(2020, 1, 15, 13, 2, 2)]"
"['#FredNatLab’s Clinical Monitoring Research Program Directorate provides high-quality research support services to a… https://t.co/Wg4l8eI2qO', datetime.datetime(2020, 1, 15, 13, 1, 13)]"
"['Stepping up to the challenge: studying drug dosage during an #Ebola outbreak - joint study of @UofGlasgow,… https://t.co/lnO3sCm3aN', datetime.datetime(2020, 1, 15, 12, 56, 21)]"
"['\U0001fa7a2.89 metric tons of medical and non-medical supplies and equipment delivered to hubs in Beni and Butembo daily \n\nP… https://t.co/CyGXXFL8P4', datetime.datetime(2020, 1, 15, 12, 52, 52)]"
"['Röda Korsets lokala volontärer har genomfört enastående 20 000 säkra begravningar sedan #Ebola bröt ut i Kongo förra sommaren.', datetime.datetime(2020, 1, 15, 12, 26, 12)]"
"['Två Röda Kors-volontärer attackerades och skadades i samband med en säker begravning av en person som dött av… https://t.co/8sgqfJfWJ4', datetime.datetime(2020, 1, 15, 12, 25, 11)]"
"['The science stories that shaped 2019: first image of a #blackhole, progress in fight against #Ebola, and promise an… https://t.co/86uuejQOwl', datetime.datetime(2020, 1, 15, 12, 21)]"
"['#DYK that #Ebola in Sierra Leone was initially seen as “a god-sent disease?\n\n""Deaths, especially the ones connected… https://t.co/BCZ5JUPFWs', datetime.datetime(2020, 1, 15, 12, 19)]"
"['#Ebola #EbolaDRC #EBOV in the DRC: 503 suspected/3403 total confirmed &amp; probable cases (118 probable/3285 confirmed… https://t.co/btU9Dw7GoG', datetime.datetime(2020, 1, 15, 12, 9, 30)]"
"['#Ebola response and community engagement: how to build a bridge? Correspondence in @TheLancet: https://t.co/S5DRQub3dS', datetime.datetime(2020, 1, 15, 12, 1, 15)]"
"['Julienne Anokon tehtävä on mennä kaukaisiin maaseudun paikkoihin, istua ja kuunnella kun ihmiset huutavat. Lue lisä… https://t.co/1u8Jejjydg', datetime.datetime(2020, 1, 15, 11, 34, 27)]"
