,title,pubdate,Latitude,Longitude
35,RT @makoto_au_japon: #Trinidad &amp; #Tobago: #Ebola treatment centre ready http://t.co/aVZtt79dsY #TT #Caribbean,11/12/2014 23:11:40,-3.0158247762324732,24.351466430477874
36,@UNDP providing important fail safe in fight against #Ebola. http://t.co/a0D7Q7QZ8x @UNMEER @DougUNDP @HelenClarkUNDP,11/12/2014 23:11:31,-2.1041344519547667,21.736665894878122
37,RT @makoto_au_japon: #Israel: Watch: Israel sending #Ebola field hospital and staff to #Africa (Video) http://t.co/UqNdcDO8x1,11/12/2014 23:11:29,-6.5024876063480646,22.43904225539835
38,RT @InfoEbola: “Your Blood Tested Positive for #Ebola. I Am Sorry.”Read Dr. Ada Ignohoh\'s story. Posted online by Bill Gates... http://t.…,11/12/2014 23:11:25,-6.8162579913712324,21.753428123437274
39,A Poem: On the Arrival of Ebola in New York   http://t.co/lg5zqqrEtd  #ebola #funny #humor via @humortimes,11/12/2014 23:11:19,-1.779251590979103,19.58469657456598
40,"RT @makoto_au_japon: #Kazakhstan: No Kazakhstanis contracted #Ebola #virus in #Africa, MFA http://t.co/JxzKkKAA9K #Kazakh",11/12/2014 23:11:17,-4.248625634012329,21.282584152508488
41,"RT @seanparnell: British PM makes #ebola a #G20 priority. Aust PM last week said \""I don\'t think at this stage we want to over-estimate the …",11/12/2014 23:11:13,-7.7468991838592665,22.291141558585966
42,RT @RT_com: #US nurses strike over insufficient #Ebola protections http://t.co/iCYbZDlQkv http://t.co/CYku6t0gVU,11/12/2014 23:11:13,-4.144476159329462,25.35163847199502
43,RT @makoto_au_japon: #Russia to begin testing its #Ebola drugs http://t.co/mi5rIu4IMC #Africa #drug,11/12/2014 23:11:11,-2.8181300453492386,19.50483127706021
44,RT @RT_com: #US nurses strike over insufficient #Ebola protections http://t.co/iCYbZDlQkv http://t.co/CYku6t0gVU,11/12/2014 23:11:11,-6.209641518931997,23.158739205605077
45,RT @makoto_au_japon: #APEC leaders determined to jointly fight #Ebola: Xi http://t.co/cJD6HVIAWi #China,11/12/2014 23:10:51,-6.533372769491695,19.737383252383253
46,Good to hear Joe Hockey confirm #Ebola is on the agenda at #G20 - plus this from David Cameron earlier http://t.co/LJCUwU3Air,11/12/2014 23:10:41,-2.0628227988907315,23.011824271836815
47,Fran just told me she loved me and she doesn\'t want anything 😟 #EBOLA???,11/12/2014 23:10:25,-5.289124035778259,24.435835733563145
48,"RT @kasujja: Africa, the land of simba, Cleopatra...oh and #Ebola! According to @TMZ.  Really? Humour? Ignorance? Indifference? http://t.co…",11/12/2014 23:10:17,-6.918179384306403,21.758654116521686
49,Deploying Technology in the Fight Against #Ebola http://t.co/DYuOrgI7hk by @drjohnbates,11/12/2014 23:10:13,-1.8542101484204978,26.176818196733002
50,Clinical Care of Two Patients with #Ebola Virus Disease in the United States http://t.co/300NOKkpiy,11/12/2014 23:10:11,-5.768223387545682,19.801140346235258
51,RT @NewsonEbola: #Ebola #EbolaOutbreak Thomas Eric Duncan\'s Family Reaches \'Resolution\' With Dallas Hospital In Ebola Case http://t.co/DIcW…,11/12/2014 23:10:06,-2.561433788300147,22.18742790930753
52,RT @RainaMacIntyre: #Ebola and why it matters - 10 min summary &amp; what you can do @UNSW Alliance against Ebola. http://t.co/SfbP7taVSH  @Joe…,11/12/2014 23:10:00,-4.395850760091473,19.225468903238237
53,"RT @dulaney_l: As If #Ebola Weren\'t Bad Enough, Here\'s Another Deadly #Disease Invading America Across The #Border http://t.co/SDvDIy4rzv v…",11/12/2014 23:09:49,1.695729554577829,20.769027608048116
54,#Ebola season 3 ep13 http://t.co/zwrYpoElgq,11/12/2014 23:09:41,-4.851184760756331,23.028045847867965
55,"RT seanparnell: British PM makes #ebola a #G20 priority. Aust PM last week said \""I don\'t think at this stage we want to over-estimate the...",11/12/2014 23:09:39,-2.9237556093736994,19.977838196667193
56,"RT @WBUR: As health workers fight to control the #Ebola outbreak, are there lessons from the Boston 1721 smallpox epidemic? http://t.co/hyM…",11/12/2014 23:09:37,-2.0931685914371356,19.158324190916375
57,RT @YaThinkN: Thank you @antloewenstein about bloody time #Ebola profiteering at expense of qualified NGO was pointed out :( http://t.co/gp…,11/12/2014 23:09:34,-4.0392393291918784,21.80683747123783
58,"http://t.co/C92r11cNG8 Rhode Island, US: 15 Being Monitored for #Ebola #Ebola Alerts",11/12/2014 23:09:32,-3.140107315564659,21.18903167167027
59,RT @RT_com: #US nurses strike over insufficient #Ebola protections http://t.co/iCYbZDlQkv http://t.co/CYku6t0gVU,11/12/2014 23:09:29,-5.234707759512503,23.750825440944336
60,"#Ebola outbreak: deaths exceed 5000, WHO says - CBC.ca http://t.co/x1xemg2kar",11/12/2014 23:09:28,-3.2696766868297664,23.396629286071033
61,Family of #ThomasDuncan settles with Dallas hospital #Ebola http://t.co/sU8sUVFwHo http://t.co/SZaOHQxxDH,11/12/2014 23:09:21,-1.929082803649643,22.85231792015155
62,"“@UCSF: Clinician @DanKelly_MD returning from Sierra Leone \""more hopeful than ever\"" that #Ebola will be eradicated http://t.co/0rxdHyOz7H”",11/12/2014 23:09:16,-3.159534209272816,22.290578536561284
63,RT @NewsonEbola: #Ebola #EbolaOutbreak Thomas Eric Duncan\'s Family Reaches \'Resolution\' With Dallas Hospital In Ebola Case http://t.co/DIcW…,11/12/2014 23:09:16,-2.94773248099974,18.284452301750175
64,RT @LukeRussert: #USA media needs 2 b more concerned w 22 vets committing suicide a day &amp; vet unemployment rate than #Ebola or #MH370 http:…,11/12/2014 23:09:10,-2.429140430656971,19.96316515114509
65,"British PM makes #ebola a #G20 priority. Aust PM last week said \""I don\'t think at this stage we want to over-estimate the impact of ebola..\"",""British PM makes #ebola a #G20 priority. Aust PM last week said \""I don\'t think at this stage we want to over-estimate the impact of ebola..\"",""Twitter for iPad",11/12/2014 23:09:03,-1.1677732149237547,23.083482138901402
66,"RT @UNMEER: .@UNBanbury tells @UN_Radio: international community must \""get ahead\"" of #Ebola outbreak - http://t.co/dm7RqErtPf http://t.co/F…",11/12/2014 23:08:50,-7.688818924138188,20.58386804285534
67,RT @YourAnonGlobal: #US nurses strike over insufficient #Ebola protections http://t.co/mYv6Aget3r http://t.co/GMGV5KtPVg,11/12/2014 23:08:38,-2.701689588686188,24.41540742964059
68,"RT @SavetheChildren: #Ebola Crisis at a \""Tipping Point:\"" 2.5 Million Children under 5 Live in Affected Areas http://t.co/6Rgwvi5OJw",11/12/2014 23:08:37,-0.7624177252994819,23.811945065377223
69,"RT @FollowEbola: Children Are More Likely To Survive #Ebola, And Now Scientists May Know Why. http://t.co/g2kgNbjg4N",11/12/2014 23:08:37,-5.8777597654211515,19.889621041819233
70,Via @nprnews: #Ebola In 3-D: A Video #Game To Guide Health Care Workers Through A Ward http://t.co/pmxaIKHH8a #sims,11/12/2014 23:08:36,-2.267249618980296,22.263277280588493
71,Whoop whoop haha #ebola http://t.co/C6LU9CoJLe,11/12/2014 23:08:23,-4.390993790020762,19.73258179017672
72,How can you help turn the world around &amp; stop our economic collapse? http://t.co/NXOwlbLDeI #GoldOutofHiding#EBOLA #EBOLAANSWERS #ebolaar,11/12/2014 23:08:19,-1.9988982694491986,24.92569314076731
73,RT @amaausmed: .@amapresident has urged Govt to consider deploying AUSMAT teams to join fight against #Ebola in west Africa https://t.co/bU…,11/12/2014 23:08:10,-6.186683565808564,22.510349500164743
74,"RT @GerardBest: #Ebola death toll tops 5,000--WHO http://t.co/TepwFpmnX2 http://t.co/fqdQfNOUyu",11/12/2014 23:07:51,-3.708168039885285,18.066088850473815
75,RT @kakape: And in other #Ebolanoia news: Morocco is expelled from soccer tournament for refusing to host it due to #Ebola fears http://t.c…,11/12/2014 23:07:51,-6.164322493138436,22.76023561148326
76,RT @Campaign4Action: .@CDCgov issues new #ebola guidelines for emergency departments http://t.co/POIH4G3IDs,11/12/2014 23:07:48,-2.4197738205601667,21.136338524844493
77,#Ebola World View: Who Has It and Where #TexasHealthPresbyterian #WhereDuncan http://t.co/Lyx42f3DcI http://t.co/NVgHGynguW,11/12/2014 23:07:38,-1.3615732030213232,18.675642269892684
78,RT @PHammondMP: Good to meet @presidentkoroma Impressed at his commitment to keep fighting #Ebola http://t.co/XImMIu9Nt4,11/12/2014 23:07:34,-4.450157119984172,20.435785151265275
79,RT @lajouetreine: #US nurses strike over insufficient #Ebola protections http://t.co/vEwkK2U8p6 http://t.co/UPygTXwkbp,11/12/2014 23:07:30,-4.51692861934994,25.110976964079338
80,Remember #Ebola? It\'s Still A Huge Problem - Health Care Edge. http://t.co/yeb4borm5a,11/12/2014 23:07:28,-2.2935036674169575,15.519364538179673
81,Rage Against the #Ebola Crematorium. http://t.co/RhvUJIIzZ8,11/12/2014 23:07:27,-5.717869339176365,23.08795108256224
82,RT @GeneticLiteracy: Who decides who gets treatments in #Ebola #drug trials? via @Nature http://t.co/O73byneXM2,11/12/2014 23:07:17,-6.446614054963704,17.431676312286736
83,"RT @FluTrackers: #Mali - Reported #ebola case who died was a nurse, 1 other possible health care worker being tested http://t.co/zsU7asO7cm…",11/12/2014 23:07:12,-3.129100820755074,25.08048218031394
84,RT @SenateApprops Read witness testimony including @SHEA_Epi &amp; other info from today\'s #Ebola hearing: http://t.co/17QKCKnd1U,11/12/2014 23:07:11,-2.930829058177265,18.8900374253177
85,Yo Everybody Is Getting Sick Dawg 😳 Thats That #Ebola Creeping up 😕 jk.. I hope 😭 https://t.co/NkEDB0yrIz,11/12/2014 23:07:05,-4.868522122482649,20.987373794817884
86,#KatieHopkins : if #Ebola had a face.,11/12/2014 23:07:03,-6.671100070146082,26.066621509819306
87,RT @UNICEF: 2014 could be the year progress to end #measles and #malaria slides back. And it’s because of #Ebola http://t.co/6SgN1ZxQAK via…,11/12/2014 23:07:00,-6.261617749965039,22.03758502236636
88,Remember #Ebola? It\'s Still A Huge Problem - Health Care Edge. http://t.co/xXHHIeaR6j,11/12/2014 23:07:00,-5.677982206115351,18.96423499711773
89,Rage Against the #Ebola Crematorium. http://t.co/nai944hpUA,11/12/2014 23:07:00,-4.21814598317251,19.018549560201315
90,#US nurses strike over insufficient #Ebola protections http://t.co/BGsg1jWb2M http://t.co/b16AZiIHrt,11/12/2014 23:06:53,-4.129736431174019,20.57137426516513
91,First @facebook and now @google are asking me for money for #Ebola. What about more relevant diseases?,11/12/2014 23:06:47,-7.250803174155791,22.492681386334713
92,"RT @picardonhealth: First Outbreak Quashed, #Ebola Reappears in #Mali  http://t.co/PfzAmGS78Z via @nytimes",11/12/2014 23:06:45,-4.714474848410505,20.16588594957012
93,RT @RT_com: #US nurses strike over insufficient #Ebola protections http://t.co/iCYbZDlQkv http://t.co/CYku6t0gVU,11/12/2014 23:06:37,-5.436152325211129,20.951284699298817
94,RT @LukeRussert: #USA media needs 2 b more concerned w 22 vets committing suicide a day &amp; vet unemployment rate than #Ebola or #MH370 http:…,11/12/2014 23:06:24,0.714716455859878,20.940283518126172
95,#Thomas #Eric Duncans Family Receives Settlementl Over #Ebola #Death - Nov 12 @ 10:06 PM ET http://t.co/WDS21FiQcv,11/12/2014 23:06:18,-3.723030935371976,19.66642028358072
96,"RT @EndTimeHeadline: No district has gone untouched in #SierraLeone, where #Ebola has now been detected in every single area of the... http…",11/12/2014 23:06:15,-4.033078561704311,22.0779364203748
97,RT @MSF_USA: The #MSF team at #Khost maternity hospital in #Afghanistan supports colleagues fighting #Ebola in West Africa: http://t.co/Fxu…,11/12/2014 23:06:14,-2.53313282638329,20.81113355418203
